"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "XML", "toml", "TypeScript JSX", "CSS", "comment", "blank", "total"
"x:\Dev\Koulu\Web\frontend\src\components\Button\Button.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 10, 78
"x:\Dev\Koulu\Web\frontend\src\components\Button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"x:\Dev\Koulu\Web\frontend\src\components\Like\Like.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"x:\Dev\Koulu\Web\frontend\src\components\Login\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"x:\Dev\Koulu\Web\frontend\src\components\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"x:\Dev\Koulu\Web\frontend\src\components\Modal\FuelView\FuelView.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"x:\Dev\Koulu\Web\frontend\src\components\Modal\FuelView\FuelView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 7, 81
"x:\Dev\Koulu\Web\frontend\src\components\Modal\Modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 13, 92
"x:\Dev\Koulu\Web\frontend\src\components\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 8, 190
"x:\Dev\Koulu\Web\frontend\src\components\Modal\PlanesView\PlanesView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 4, 53
"x:\Dev\Koulu\Web\frontend\src\components\Modal\RouteView\RouteView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"x:\Dev\Koulu\Web\frontend\src\components\Modal\SearchBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 2, 9, 121
"x:\Dev\Koulu\Web\frontend\src\components\Modal\ShopView\ShopView.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"x:\Dev\Koulu\Web\frontend\src\components\Modal\ShopView\ShopView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 115
"x:\Dev\Koulu\Web\frontend\src\components\NavBar\NavBar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 4, 42
"x:\Dev\Koulu\Web\frontend\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 1, 6, 71
"x:\Dev\Koulu\Web\frontend\src\components\TrackingMarker\MovingMarker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 1, 14, 59
"x:\Dev\Koulu\Web\frontend\src\components\TrackingMarker\MovingMarker2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 13, 52
"x:\Dev\Koulu\Web\frontend\src\components\TrackingMarker\TrackingMarker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 2, 18, 99
"x:\Dev\Koulu\Web\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"x:\Dev\Koulu\Web\frontend\src\types\Airplane.ts", "TypeScript", 0, 0, 0, 157, 0, 0, 0, 0, 0, 2, 13, 172
"x:\Dev\Koulu\Web\frontend\src\types\Airport.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"x:\Dev\Koulu\Web\frontend\src\types\Carrier.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 4, 33
"x:\Dev\Koulu\Web\frontend\src\types\leaflet-marker-easing.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"x:\Dev\Koulu\Web\frontend\src\types\types.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"x:\Dev\Koulu\Web\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"x:\Dev\Koulu\Web\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"x:\Dev\Koulu\Web\frontend\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"x:\Dev\Koulu\Web\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"x:\Dev\Koulu\Web\frontend\vite.config.ts.timestamp-1679413222452.mjs", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 1, 11
"Total", "-", 22, 19, 6891, 398, 21, 2, 9, 1224, 271, 31, 247, 9135
